institutionCode,collectionCode,recorderdBy,basisOfRecord,occurrenceID,kingdom,genus,specificEpithet,scientificName,scientificNameAuthorship,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,eventDate,country,stateProvince,county,verbatimLocality,leafWidth,leafLength,lightCondition
UFSC,BIO7006,Camila Sotili,HumanObservation,UFSC:BIO7006:Plantae:0001,Plantae,Coleus,comosus,Coleus comosus,Hochst. ex Gürke,,,-27.65964,-48.53436,2025-10-15,Brasil,Santa Catarina,Florianópolis,Quintal de propriedade privada no Bairro Carianos,"2,5",4,Sombra
UFSC,BIO7006,Camila Sotili,HumanObservation,UFSC:BIO7006:Plantae:0001,Plantae,Coleus,comosus,Coleus comosus,Hochst. ex Gürke,,,-27.65964,-48.53436,2025-10-15,Brasil,Santa Catarina,Florianópolis,Quintal de propriedade privada no Bairro Carianos,"2,5","3,8",Sombra
UFSC,BIO7006,Camila Sotili,HumanObservation,UFSC:BIO7006:Plantae:0001,Plantae,Coleus,comosus,Coleus comosus,Hochst. ex Gürke,,,-27.65964,-48.53436,2025-10-15,Brasil,Santa Catarina,Florianópolis,Quintal de propriedade privada no Bairro Carianos,"2,3","3,7",Sombra
UFSC,BIO7006,Camila Sotili,HumanObservation,UFSC:BIO7006:Plantae:0001,Plantae,Coleus,comosus,Coleus comosus,Hochst. ex Gürke,,,-27.65964,-48.53436,2025-10-15,Brasil,Santa Catarina,Florianópolis,Quintal de propriedade privada no Bairro Carianos,"2,4","3,7",Sombra
UFSC,BIO7006,Camila Sotili,HumanObservation,UFSC:BIO7006:Plantae:0001,Plantae,Coleus,comosus,Coleus comosus,Hochst. ex Gürke,,,-27.65964,-48.53436,2025-10-15,Brasil,Santa Catarina,Florianópolis,Quintal de propriedade privada no Bairro Carianos,"3,4","3,7",Sombra
UFSC,BIO7006,Camila Sotili,HumanObservation,UFSC:BIO7006:Plantae:0002,Plantae,Ipomoea,batatas,Ipomoea batatas,Lam.,,,-27.65964,-48.53436,2025-10-15,Brasil,Santa Catarina,Florianópolis,Quintal de propriedade privada no Bairro Carianos,5,"5,5",Sombra
UFSC,BIO7006,Camila Sotili,HumanObservation,UFSC:BIO7006:Plantae:0002,Plantae,Ipomoea,batatas,Ipomoea batatas,Lam.,,,-27.65964,-48.53436,2025-10-15,Brasil,Santa Catarina,Florianópolis,Quintal de propriedade privada no Bairro Carianos,7,"8,3",Sombra
UFSC,BIO7006,Camila Sotili,HumanObservation,UFSC:BIO7006:Plantae:0002,Plantae,Ipomoea,batatas,Ipomoea batatas,Lam.,,,-27.65964,-48.53436,2025-10-15,Brasil,Santa Catarina,Florianópolis,Quintal de propriedade privada no Bairro Carianos,"8,7","8,4",Sombra
UFSC,BIO7006,Camila Sotili,HumanObservation,UFSC:BIO7006:Plantae:0002,Plantae,Ipomoea,batatas,Ipomoea batatas,Lam.,,,-27.65964,-48.53436,2025-10-15,Brasil,Santa Catarina,Florianópolis,Quintal de propriedade privada no Bairro Carianos,"10,2","8,9",Sombra
UFSC,BIO7006,Camila Sotili,HumanObservation,UFSC:BIO7006:Plantae:0002,Plantae,Ipomoea,batatas,Ipomoea batatas,Lam.,,,-27.65964,-48.53436,2025-10-15,Brasil,Santa Catarina,Florianópolis,Quintal de propriedade privada no Bairro Carianos,"8,9","9,5",Sombra
UFSC,BIO7006,Camila Sotili,HumanObservation,UFSC:BIO7006:Plantae:0003,Plantae,Cybistax,antisyphilitica,Cybistax antisyphilitica,Mart.,,,-27.65963,-48.53437,2025-10-15,Brasil,Santa Catarina,Florianópolis,Quintal de propriedade privada no Bairro Carianos,"1,9",6,Plena luz
UFSC,BIO7006,Camila Sotili,HumanObservation,UFSC:BIO7006:Plantae:0003,Plantae,Cybistax,antisyphilitica,Cybistax antisyphilitica,Mart.,,,-27.65963,-48.53437,2025-10-15,Brasil,Santa Catarina,Florianópolis,Quintal de propriedade privada no Bairro Carianos,2,"7,1",Plena luz
UFSC,BIO7006,Camila Sotili,HumanObservation,UFSC:BIO7006:Plantae:0003,Plantae,Cybistax,antisyphilitica,Cybistax antisyphilitica,Mart.,,,-27.65963,-48.53437,2025-10-15,Brasil,Santa Catarina,Florianópolis,Quintal de propriedade privada no Bairro Carianos,"2,5","7,5",Plena luz
UFSC,BIO7006,Camila Sotili,HumanObservation,UFSC:BIO7006:Plantae:0003,Plantae,Cybistax,antisyphilitica,Cybistax antisyphilitica,Mart.,,,-27.65963,-48.53437,2025-10-15,Brasil,Santa Catarina,Florianópolis,Quintal de propriedade privada no Bairro Carianos,"1,8","6,7",Plena luz
UFSC,BIO7006,Camila Sotili,HumanObservation,UFSC:BIO7006:Plantae:0003,Plantae,Cybistax,antisyphilitica,Cybistax antisyphilitica,Mart.,,,-27.65963,-48.53437,2025-10-15,Brasil,Santa Catarina,Florianópolis,Quintal de propriedade privada no Bairro Carianos,"1,5","5,7",Plena luz
UFSC,BIO7006,Camila Sotili,HumanObservation,UFSC:BIO7006:Plantae:0004,Plantae,Thunbergia,erecta,Thunbergia erecta,Benth.,,,-27.59779,-48.51504,2025-10-16,Brasil,Santa Catarina,Florianópolis,"Jardim externo CCB, bloco D",,,Sombra
UFSC,BIO7006,Camila Sotili,HumanObservation,UFSC:BIO7006:Plantae:0005,Plantae,Impatiens,walleriana,Impatiens walleriana,Hook.f.,,,-27.59779,-48.51504,2025-10-16,Brasil,Santa Catarina,Florianópolis,"Jardim externo CCB, bloco D",,,Sombra
UFSC,BIO7006,Josiane de Lima de Meireles,HumanObservation,UFSC:BIO7006:Plantae:0006,Plantae,Coleus,scutellarioides,Coleus scutellarioides,(L.) Benth,27°36'18.36'' S,48°30'54.04'' W,-27.605099,-48.515011,2025-10-15,Brasil,Santa Catarina,Florianópolis,Calçada da Rua Protenor Vidal no bairro Pantanal,"7,5","7,5",Sombra
